Accession,Description,GeneName,Peptides,PSMs,AAs,MW.kDA,pI,QuantifyingPSMs,T37,T40,T43,T46,T49,T52,T55,T58,T61,T64,TotalExpt
B4DNW0,Aminoacylase-1 OS=Homo sapiens GN=ACY1 PE=2 SV=1,ACY1,110,698,498,55.959,7.03,277,0.996323677,0.986891018,1.021379396,0.971886893,0.94892681,0.848686118,0.745833965,0.652069998,0.536691924,0.476440197,8
Q7Z4H3,HD domain-containing protein 2 OS=Homo sapiens GN=HDDC2 PE=1 SV=1,HDDC2,56,361,204,23.376,5.49,145,0.996323677,1.008769238,1.009651844,0.979987189,0.924641258,0.846339284,0.70728532,0.588380612,0.431551162,0.232838377,8
P49593,Protein phosphatase 1F OS=Homo sapiens GN=PPM1F PE=1 SV=3,PPM1F,88,414,454,49.8,5.1,171,0.996323677,1.005335423,0.995012157,0.987687756,0.910022252,0.692162256,0.275037991,0.125167563,0.075261087,0.060131051,8
B0QY89,Eukaryotic translation initiation factor 3 subunit L OS=Homo sapiens GN=EIF3EIP PE=4 SV=1,EIF3EIP,142,591,607,70.857,6.65,243,0.996323677,1.012695442,1.047576704,0.972577813,0.899921037,0.43731868,0.162728196,0.090422523,0.057955712,0.050215523,8
O75717,WD repeat and HMG-box DNA-binding protein 1 OS=Homo sapiens GN=WDHD1 PE=1 SV=1,WDHD1,152,413,1129,125.888,5.62,167,0.996323677,0.967672108,0.86477577,0.655875497,0.336882589,0.229526786,0.137165179,0.099162881,0.07573061,0.058459996,8
Q6IBS0,Twinfilin-2 OS=Homo sapiens GN=TWF2 PE=1 SV=2,TWF2,71,275,349,39.523,6.84,70,0.996323677,0.987368623,1.012852743,0.971349748,0.90418026,0.682360649,0.279500906,0.15056195,0.10115929,0.082239758,8
P14735,Insulin-degrading enzyme OS=Homo sapiens GN=IDE PE=1 SV=4,IDE,158,482,1019,117.893,6.61,191,0.996323677,0.998046374,0.999497503,0.947866653,0.796890533,0.520647218,0.240181561,0.102125299,0.069209097,0.051380208,8
P30419,Glycylpeptide N-tetradecanoyltransferase 1 OS=Homo sapiens GN=NMT1 PE=1 SV=2,NMT1,79,349,496,56.77,7.8,133,0.996323677,1.000880735,0.989653084,0.916829616,0.717313449,0.438226885,0.220906131,0.137771279,0.09704089,0.083193564,8
P50570,Dynamin-2 OS=Homo sapiens GN=DNM2 PE=1 SV=2,DNM2,129,433,870,98.003,7.44,7,0.996323677,1.077692915,0.836823994,0.550528939,0.272942555,0.188895413,0.148742482,0.1015198,0.076306838,0.063340765,4
P30566,Adenylosuccinate lyase OS=Homo sapiens GN=ADSL PE=1 SV=2,ADSL,80,367,484,54.854,7.11,162,0.996323677,1.006499652,1.014878677,1.001684194,1.005403304,0.951076956,0.844351985,0.649624267,0.093787132,0.082302006,8
Q9BWU0,Kanadaptin OS=Homo sapiens GN=SLC4A1AP PE=1 SV=1,SLC4A1AP,120,309,796,88.759,5.19,136,0.996323677,0.980111437,0.980044658,0.881162498,0.623362196,0.341007888,0.183048572,0.116745221,0.084085308,0.070503803,8
Q9UKY7,Protein CDV3 homolog OS=Homo sapiens GN=CDV3 PE=1 SV=1,CDV3,56,353,258,27.318,6.4,157,0.996323677,0.996740084,1.006305295,1.016053285,1.0132787,0.998334254,0.92069346,0.815619191,0.708316743,0.570716553,8
Q9H773,dCTP pyrophosphatase 1 OS=Homo sapiens GN=DCTPP1 PE=1 SV=1,DCTPP1,66,394,170,18.669,5.03,146,0.996323677,1.008209792,1.002503772,0.971230689,0.953184154,0.877699248,0.762428166,0.629848696,0.552722402,0.497819493,8
P30626,Sorcin OS=Homo sapiens GN=SRI PE=1 SV=1,SRI,55,352,198,21.662,5.59,145,0.996323677,1.014468407,1.007581453,0.9874337,0.93194672,0.806006659,0.576253372,0.308104472,0.159315876,0.105354122,8
Q15637,Isoform 5 of Splicing factor 1 OS=Homo sapiens GN=SF1,SF1,112,531,764,80.569,9.52,142,0.996323677,1.003855581,1.023538666,0.999625865,0.921051389,0.85351196,0.671690394,0.454540588,0.31106293,0.266011344,8
P36959,GMP reductase 1 OS=Homo sapiens GN=GMPR PE=1 SV=1,GMPR,78,347,345,37.395,7.06,124,0.996323677,0.998084181,1.021630318,0.982028647,0.997701873,0.945533617,0.869200207,0.76724629,0.679655561,0.596806709,8
P40121,Macrophage-capping protein OS=Homo sapiens GN=CAPG PE=1 SV=2,CAPG,49,230,348,38.474,6.19,91,0.996323677,0.986880615,1.010216871,0.982208588,0.794157879,0.341884065,0.14557388,0.083856143,0.059798659,0.05124216,8
Q14651,Plastin-1 OS=Homo sapiens GN=PLS1 PE=1 SV=2,PLS1,84,452,629,70.209,5.41,62,0.996323677,1.011811908,1.000966771,0.959090908,0.716665049,0.348247937,0.19110891,0.10910798,0.081249156,0.069071861,8
Q5TFE4,5'-nucleotidase domain-containing protein 1 OS=Homo sapiens GN=NT5DC1 PE=1 SV=1,NT5DC1,78,344,455,51.812,6.35,141,0.996323677,0.976998279,1.014304181,0.980289293,0.931564648,0.811960273,0.516746615,0.193932565,0.095379375,0.065428125,8
Q96CN7,Isochorismatase domain-containing protein 1 OS=Homo sapiens GN=ISOC1 PE=1 SV=3,ISOC1,44,204,298,32.216,7.39,91,0.996323677,1.001113746,1.019993116,0.982011293,0.933621209,0.851276736,0.742927004,0.403840009,0.116627021,0.072137496,8
Q8N163,DBIRD complex subunit KIAA1967 OS=Homo sapiens GN=KIAA1967 PE=1 SV=2,KIAA1967,131,383,923,102.838,5.22,29,0.996323677,0.830499941,0.618658787,0.468950187,0.318426594,0.175263347,0.085771859,0.049408336,0.036352142,0.027389477,8
Q13573,SNW domain-containing protein 1 OS=Homo sapiens GN=SNW1 PE=1 SV=1,SNW1,79,250,536,61.456,9.52,80,0.996323677,0.993410929,0.99834953,0.960466689,0.882049308,0.641717682,0.381746471,0.250161697,0.192410228,0.173874853,6
Q14683,Structural maintenance of chromosomes protein 1A OS=Homo sapiens GN=SMC1A PE=1 SV=2,SMC1A,186,430,1233,143.144,7.64,173,0.996323677,1.021607148,1.061692606,1.02476194,0.766978135,0.282279029,0.160039565,0.101595909,0.071133545,0.054142751,8
P61970,Nuclear transport factor 2 OS=Homo sapiens GN=NUTF2 PE=1 SV=1,NUTF2,27,344,127,14.469,5.38,148,0.996323677,0.997325842,1.018935813,0.998825282,0.963862177,0.893630276,0.759777621,0.598631042,0.461617602,0.311452481,8
Q12905,Interleukin enhancer-binding factor 2 OS=Homo sapiens GN=ILF2 PE=1 SV=2,ILF2,81,402,390,43.035,5.26,164,0.996323677,0.995841176,1.033885705,1.015880359,0.991500818,0.918130524,0.655923548,0.194840942,0.081758853,0.048720834,8
Q9UPT8,Zinc finger CCCH domain-containing protein 4 OS=Homo sapiens GN=ZC3H4 PE=1 SV=3,ZC3H4,85,288,1303,140.169,6.27,135,0.996323677,0.976503786,0.97447756,0.964318214,0.975784705,0.868957198,0.773182549,0.529641184,0.401141223,0.341315869,8
O14929,Histone acetyltransferase type B catalytic subunit OS=Homo sapiens GN=HAT1 PE=1 SV=1,HAT1,62,334,419,49.481,5.69,141,0.996323677,1.029896748,0.985905325,0.862472335,0.527410468,0.228280937,0.11747535,0.077586423,0.055989848,0.04745143,8
Q15459,Splicing factor 3A subunit 1 OS=Homo sapiens GN=SF3A1 PE=1 SV=1,SF3A1,128,530,793,88.831,5.22,219,0.996323677,1.015706906,0.989735646,0.89714022,0.726379036,0.455474944,0.214067775,0.132373722,0.097473682,0.075721084,8
Q7Z5K2,Isoform 3 of Wings apart-like protein homolog OS=Homo sapiens GN=WAPAL,WAPAL,116,279,1275,142.436,6.06,117,0.996323677,1.005015269,0.945345138,0.778502233,0.542030035,0.364969935,0.266261677,0.206757752,0.174600096,0.142055234,8
Q07666,"KH domain-containing, RNA-binding, signal transduction-associated protein 1 OS=Homo sapiens GN=KHDRBS1 PE=1 SV=1",KHDRBS1,77,472,443,48.197,8.66,199,0.996323677,0.956674695,0.935849707,0.832106936,0.561651961,0.276662095,0.163871663,0.109421722,0.07810153,0.074554459,8
Q08257,Quinone oxidoreductase OS=Homo sapiens GN=CRYZ PE=1 SV=1,CRYZ,82,518,329,35.185,8.44,198,0.996323677,0.986657089,1.003879984,0.977914113,0.912846657,0.785118386,0.381123738,0.150270747,0.091029387,0.066909246,8
P30837,"Aldehyde dehydrogenase X, mitochondrial OS=Homo sapiens GN=ALDH1B1 PE=1 SV=3",ALDH1B1,103,336,517,57.17,6.8,116,0.996323677,0.991478164,1.004401018,0.94600703,0.698853602,0.277057873,0.136206933,0.07911242,0.057611279,0.044341642,8
B4E0Y9,Serine/threonine-protein kinase MST4 OS=Homo sapiens GN=MST4 PE=2 SV=1,MST4,72,272,438,49.153,5.68,70,0.996323677,0.905857989,0.589431775,0.420356218,0.308972997,0.198818308,0.125676604,0.079176435,0.066482175,0.053571367,8
P54727,UV excision repair protein RAD23 homolog B OS=Homo sapiens GN=RAD23B PE=1 SV=1,RAD23B,70,546,409,43.145,4.84,157,0.996323677,1.018502325,1.020307405,1.01404471,0.958368897,0.910214329,0.783162563,0.685819736,0.648760538,0.584743995,8
Q92797,Symplekin OS=Homo sapiens GN=SYMPK PE=1 SV=2,SYMPK,120,256,1274,141.059,6.13,109,0.996323677,0.951996358,0.74673079,0.500119041,0.30004736,0.189453953,0.112655914,0.076380612,0.064179249,0.055117401,8
Q13435,Splicing factor 3B subunit 2 OS=Homo sapiens GN=SF3B2 PE=1 SV=2,SF3B2,140,523,895,100.165,5.67,200,0.996323677,1.007728952,0.970590025,0.91064951,0.76881189,0.510766099,0.283573933,0.199141198,0.155542981,0.139349874,8
P06576,"ATP synthase subunit beta, mitochondrial OS=Homo sapiens GN=ATP5B PE=1 SV=3",ATP5B,69,219,529,56.525,5.4,90,0.996323677,0.863533523,0.619844204,0.471799734,0.344751382,0.25833285,0.184596037,0.132721073,0.102612398,0.063897837,8
Q9Y5X3,Sorting nexin-5 OS=Homo sapiens GN=SNX5 PE=1 SV=1,SNX5,101,351,404,46.787,6.76,134,0.996323677,0.990525381,0.98491121,0.926448936,0.671305381,0.293886764,0.130496379,0.07355001,0.051218203,0.037225548,8
P50995,Annexin A11 OS=Homo sapiens GN=ANXA11 PE=1 SV=1,ANXA11,112,449,505,54.355,7.65,180,0.996323677,1.012572314,0.994106953,0.914473944,0.59456075,0.231681284,0.137536716,0.089294772,0.069876235,0.053395178,8
C9JIF9,Acylamino-acid-releasing enzyme OS=Homo sapiens GN=APEH PE=4 SV=1,APEH,114,488,737,81.622,5.54,207,0.996323677,1.000504425,1.011637083,0.975142082,0.944126005,0.877703133,0.758478235,0.617620754,0.476896116,0.264384319,8
Q8N392,Rho GTPase-activating protein 18 OS=Homo sapiens GN=ARHGAP18 PE=1 SV=3,ARHGAP18,125,348,663,74.93,6.44,149,0.996323677,0.998216218,0.98853215,0.934555444,0.726272279,0.256916345,0.135559775,0.078615988,0.066011693,0.05039535,8
Q15398,Disks large-associated protein 5 OS=Homo sapiens GN=DLGAP5 PE=1 SV=2,DLGAP5,151,387,846,95.056,9,135,0.996323677,1.022277709,0.996489525,0.985167316,0.877638775,0.476528951,0.254198785,0.151694333,0.097777049,0.073028618,8
P42345,Serine/threonine-protein kinase mTOR OS=Homo sapiens GN=MTOR PE=1 SV=1,MTOR,131,302,2549,288.707,7.17,116,0.996323677,0.981630889,0.896818096,0.78679654,0.484350168,0.251889924,0.161900018,0.109348121,0.082418531,0.069730172,8
Q13576,Ras GTPase-activating-like protein IQGAP2 OS=Homo sapiens GN=IQGAP2 PE=1 SV=4,IQGAP2,183,465,1575,180.465,5.64,132,0.996323677,0.600776279,0.30617821,0.20422994,0.160335383,0.110004416,0.076232327,0.05464891,0.046625573,0.035814915,8
Q9NXH9,tRNA (guanine(26)-N(2))-dimethyltransferase OS=Homo sapiens GN=TRMT1 PE=1 SV=1,TRMT1,127,439,659,72.188,7.64,179,0.996323677,0.996883934,1.002250135,0.974577549,0.925985473,0.836857237,0.749602092,0.576251823,0.326853883,0.10764648,8
P14174,Macrophage migration inhibitory factor OS=Homo sapiens GN=MIF PE=1 SV=4,MIF,27,516,115,12.468,7.88,195,0.996323677,1.013544067,1.011684195,0.977844564,0.945238677,0.893776505,0.746437785,0.592323996,0.503270744,0.429588627,8
O60361,Putative nucleoside diphosphate kinase OS=Homo sapiens GN=NME2P1 PE=5 SV=1,NME2P1,50,1303,137,15.519,8.57,62,0.996323677,0.966367558,1.018140668,0.989467137,1.026568702,0.936017913,0.816461855,0.691116604,0.541547477,0.223453867,8
O75439,Mitochondrial-processing peptidase subunit beta OS=Homo sapiens GN=PMPCB PE=1 SV=2,PMPCB,108,400,489,54.331,6.83,143,0.996323677,0.969979019,0.931694707,0.776896809,0.462982443,0.258685527,0.155587131,0.097064136,0.068113732,0.053928845,8
Q13492,Phosphatidylinositol-binding clathrin assembly protein OS=Homo sapiens GN=PICALM PE=1 SV=2,PICALM,82,335,652,70.71,7.9,126,0.996323677,0.993454864,1.010226005,0.978077583,0.898548056,0.704560125,0.276291583,0.152068072,0.114222367,0.089855338,8
O14545,TRAF-type zinc finger domain-containing protein 1 OS=Homo sapiens GN=TRAFD1 PE=1 SV=1,TRAFD1,88,404,582,64.8,5.29,180,0.996323677,0.976265898,0.96912084,0.936667599,0.905493807,0.809160849,0.698081859,0.592425489,0.490232149,0.472648078,8
O00148,ATP-dependent RNA helicase DDX39A OS=Homo sapiens GN=DDX39A PE=1 SV=2,DDX39A,83,484,427,49.098,5.68,42,0.996323677,0.738052677,0.458068975,0.357550246,0.26261752,0.18483593,0.116767594,0.091129406,0.067240637,0.050533787,7
Q96S59,Ran-binding protein 9 OS=Homo sapiens GN=RANBP9 PE=1 SV=1,RANBP9,95,279,729,77.798,6.79,110,0.996323677,0.999658307,0.94830222,0.830387891,0.604255604,0.339686341,0.19074359,0.118967762,0.085086955,0.071275297,8
P20700,Lamin-B1 OS=Homo sapiens GN=LMNB1 PE=1 SV=2,LMNB1,126,384,586,66.368,5.16,154,0.996323677,1.016950395,0.988086105,0.946723445,0.83013744,0.686886343,0.507162089,0.340444866,0.270356784,0.23116448,8
Q01581,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic OS=Homo sapiens GN=HMGCS1 PE=1 SV=2",HMGCS1,94,350,520,57.257,5.41,146,0.996323677,1.021794811,0.991744885,0.944459124,0.824505677,0.555560974,0.256458995,0.116290996,0.070707561,0.04831754,8
P62263,40S ribosomal protein S14 OS=Homo sapiens GN=RPS14 PE=1 SV=3,RPS14,35,249,151,16.263,10.05,110,0.996323677,1.011640518,0.976630644,0.933761685,0.820173316,0.68502706,0.519849579,0.332578258,0.09404775,0.076062852,8
O95721,Synaptosomal-associated protein 29 OS=Homo sapiens GN=SNAP29 PE=1 SV=1,SNAP29,72,434,258,28.953,5.81,186,0.996323677,1.011654416,0.974227142,0.919476696,0.906551037,0.832105421,0.727752612,0.651725013,0.558504898,0.500070391,8
O14745,Na(+)/H(+) exchange regulatory cofactor NHE-RF1 OS=Homo sapiens GN=SLC9A3R1 PE=1 SV=4,SLC9A3R1,109,433,358,38.845,5.77,175,0.996323677,1.001859279,1.011652684,0.980216116,0.932810621,0.897017687,0.757455121,0.639801884,0.553793889,0.473718509,8
O15014,Zinc finger protein 609 OS=Homo sapiens GN=ZNF609 PE=1 SV=2,ZNF609,114,267,1411,151.098,8.03,106,0.996323677,0.953938915,0.866184199,0.762467074,0.658826732,0.523040343,0.415227916,0.328078514,0.281873838,0.249456271,8
P23284,Peptidyl-prolyl cis-trans isomerase B OS=Homo sapiens GN=PPIB PE=1 SV=2,PPIB,55,351,216,23.728,9.41,131,0.996323677,1.000764762,0.965648271,0.892274825,0.604058208,0.256719357,0.142316606,0.089980921,0.064280096,0.049655622,8
Q14166,Tubulin--tyrosine ligase-like protein 12 OS=Homo sapiens GN=TTLL12 PE=1 SV=2,TTLL12,130,479,644,74.356,5.53,188,0.996323677,0.976696156,0.891587012,0.486702446,0.27363886,0.162297054,0.102003178,0.068721135,0.047899482,0.039115245,8
Q14151,Scaffold attachment factor B2 OS=Homo sapiens GN=SAFB2 PE=1 SV=1,SAFB2,108,337,953,107.408,6.16,59,0.996323677,1.002686629,0.944782929,0.964783403,0.964703122,0.836793149,0.734635246,0.607149271,0.52554539,0.441867345,8
Q86UX7,Fermitin family homolog 3 OS=Homo sapiens GN=FERMT3 PE=1 SV=1,FERMT3,133,411,667,75.905,6.98,164,0.996323677,0.987376359,0.952342992,0.834945716,0.53845529,0.248238171,0.133014228,0.083781287,0.05672083,0.044590044,8
Q96PZ0,Pseudouridylate synthase 7 homolog OS=Homo sapiens GN=PUS7 PE=1 SV=2,PUS7,145,427,661,74.988,6.37,155,0.996323677,0.987823822,1.000406195,0.933202926,0.795971829,0.551708548,0.299116079,0.189720481,0.140529189,0.121704995,8
O60678,Protein arginine N-methyltransferase 3 OS=Homo sapiens GN=PRMT3 PE=1 SV=3,PRMT3,83,276,531,59.838,5.35,109,0.996323677,1.002645718,1.004515014,0.956116951,0.729880051,0.300714954,0.158674686,0.095482853,0.064506615,0.057837106,8
Q8N1G2,Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1 OS=Homo sapiens GN=FTSJD2 PE=1 SV=1,FTSJD2,131,322,835,95.26,7.05,134,0.996323677,0.988805831,0.845494827,0.509224112,0.286297203,0.18582534,0.119240949,0.081013733,0.070411421,0.054357256,8
P62241,40S ribosomal protein S8 OS=Homo sapiens GN=RPS8 PE=1 SV=2,RPS8,61,393,208,24.19,10.32,162,0.996323677,1.044117635,0.995243723,0.957811639,0.865425846,0.721001046,0.551530143,0.354904475,0.089619849,0.066338358,8
P54886,Delta-1-pyrroline-5-carboxylate synthase OS=Homo sapiens GN=ALDH18A1 PE=1 SV=2,ALDH18A1,135,419,795,87.248,7.12,170,0.996323677,0.92955192,0.655361908,0.409298075,0.253284409,0.157108554,0.097789759,0.07056422,0.054585922,0.043936774,8
Q6IN85,Serine/threonine-protein phosphatase 4 regulatory subunit 3A OS=Homo sapiens GN=SMEK1 PE=1 SV=1,SMEK1,111,300,833,95.308,4.94,83,0.996323677,1.007879706,0.982110639,0.909376073,0.794854467,0.590943293,0.353007038,0.152563864,0.096581552,0.07125037,8
P42224,Signal transducer and activator of transcription 1-alpha/beta OS=Homo sapiens GN=STAT1 PE=1 SV=2,STAT1,139,425,750,87.28,6.05,170,0.996323677,0.972441139,0.82875697,0.466000101,0.256714587,0.157378111,0.105195836,0.072766448,0.058509079,0.045356627,8
Q92599,Septin-8 OS=Homo sapiens GN=SEPT8 PE=1 SV=4,SEPT8,74,344,483,55.721,6.28,69,0.996323677,1.004810036,1.025093605,0.959859717,0.882268034,0.710903422,0.422372539,0.266152908,0.134484304,0.082655335,8
H3BLZ8,Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens GN=DDX17 PE=3 SV=1,DDX17,150,496,731,80.389,8.37,109,0.996323677,0.992061327,0.933713444,0.874207309,0.610532817,0.282934804,0.198015983,0.132972083,0.096724061,0.085262472,8
Q8N3D4,EH domain-binding protein 1-like protein 1 OS=Homo sapiens GN=EHBP1L1 PE=1 SV=2,EHBP1L1,158,426,1523,161.756,4.83,176,0.996323677,0.979689169,0.869456699,0.720912134,0.587424481,0.443119735,0.323337797,0.223813379,0.179540232,0.16802205,8
Q9ULZ3,Apoptosis-associated speck-like protein containing a CARD OS=Homo sapiens GN=PYCARD PE=1 SV=2,PYCARD,46,330,195,21.613,6.34,141,0.996323677,1.018496536,1.0194623,1.001748988,0.953201604,0.826049862,0.562148006,0.269704176,0.150095777,0.113301542,8
P61106,Ras-related protein Rab-14 OS=Homo sapiens GN=RAB14 PE=1 SV=4,RAB14,74,331,215,23.882,6.21,101,0.996323677,0.998065607,1.021627352,0.986993859,0.92612013,0.802501817,0.564907541,0.229084289,0.103664647,0.06866688,8
Q9H0L4,Cleavage stimulation factor subunit 2 tau variant OS=Homo sapiens GN=CSTF2T PE=1 SV=1,CSTF2T,79,243,616,64.396,7.25,42,0.996323677,0.987441692,0.986466895,0.958054991,0.838567746,0.598302437,0.372369646,0.232027146,0.151994907,0.123264241,8
O43290,U4/U6.U5 tri-snRNP-associated protein 1 OS=Homo sapiens GN=SART1 PE=1 SV=1,SART1,98,208,800,90.2,6.13,94,0.996323677,1.054974737,1.046701986,1.023157961,0.910258168,0.75589856,0.612944792,0.462950386,0.3676963,0.31506494,8
Q8TEQ6,Gem-associated protein 5 OS=Homo sapiens GN=GEMIN5 PE=1 SV=3,GEMIN5,157,378,1508,168.483,6.62,141,0.996323677,0.961093727,0.912754782,0.714628235,0.384011951,0.202542779,0.113393725,0.075206009,0.057983572,0.049691056,8
O43148,Isoform 2 of mRNA cap guanine-N7 methyltransferase OS=Homo sapiens GN=RNMT,RNMT,108,356,504,57.688,7.69,141,0.996323677,0.988654197,1.014753702,0.97408622,0.893430633,0.67769453,0.378920819,0.162395577,0.116253304,0.095020313,8
Q15003,Condensin complex subunit 2 OS=Homo sapiens GN=NCAPH PE=1 SV=3,NCAPH,88,212,741,82.511,5.06,84,0.996323677,0.946827005,0.782142276,0.48258334,0.246861184,0.150885906,0.094907999,0.067813571,0.056984598,0.045224976,7
Q9BXL5,Hemogen OS=Homo sapiens GN=HEMGN PE=1 SV=1,HEMGN,112,632,484,55.307,4.87,268,0.996323677,0.993665706,1.012370859,0.987297003,0.951630158,0.734508025,0.579114129,0.568125825,0.597137991,0.595211323,8
Q9H3S7,Tyrosine-protein phosphatase non-receptor type 23 OS=Homo sapiens GN=PTPN23 PE=1 SV=1,PTPN23,146,347,1636,178.861,6.92,141,0.996323677,0.975889402,0.94686565,0.864164824,0.456668872,0.270775957,0.158562865,0.116758907,0.087820213,0.065084823,8
P46926,Glucosamine-6-phosphate isomerase 1 OS=Homo sapiens GN=GNPDA1 PE=1 SV=1,GNPDA1,63,381,289,32.648,6.92,120,0.996323677,0.988907487,1.01181694,0.953233781,0.938454173,0.883734162,0.804715563,0.687642297,0.609030174,0.54959855,7
Q6DKJ4,Nucleoredoxin OS=Homo sapiens GN=NXN PE=1 SV=2,NXN,55,150,435,48.362,4.97,67,0.996323677,1.020392527,1.00508463,0.953726393,0.796986659,0.415186215,0.188163663,0.109617736,0.072205492,0.059190726,8
Q9Y618,Nuclear receptor corepressor 2 OS=Homo sapiens GN=NCOR2 PE=1 SV=2,NCOR2,122,289,2525,274.635,7.59,127,0.996323677,0.978478397,0.940472186,0.862438527,0.815575103,0.681928545,0.498805337,0.355105619,0.296840673,0.252805658,8
Q9NWH9,SAFB-like transcription modulator OS=Homo sapiens GN=SLTM PE=1 SV=2,SLTM,108,302,1034,117.079,7.87,123,0.996323677,0.982562917,1.011172678,0.974509927,0.936570054,0.82219176,0.634753259,0.454568235,0.335517165,0.25292656,8
O14964,Hepatocyte growth factor-regulated tyrosine kinase substrate OS=Homo sapiens GN=HGS PE=1 SV=1,HGS,107,405,777,86.138,6.16,165,0.996323677,0.988544134,1.004271775,0.97735676,0.852259978,0.52720129,0.277251123,0.154084327,0.095019378,0.072814437,8
O95782,AP-2 complex subunit alpha-1 OS=Homo sapiens GN=AP2A1 PE=1 SV=3,AP2A1,162,427,977,107.478,7.03,157,0.996323677,1.00857726,0.986304578,0.880286017,0.70438087,0.508242113,0.314252367,0.180488448,0.099338437,0.070286003,8
O14686,Isoform 3 of Histone-lysine N-methyltransferase 2D OS=Homo sapiens GN=KMT2D,KMT2D,173,385,5540,593.304,5.58,159,0.996323677,0.982520057,0.910981337,0.807688733,0.602595573,0.442377988,0.302198647,0.230637402,0.194003614,0.158289211,8
P55795,Heterogeneous nuclear ribonucleoprotein H2 OS=Homo sapiens GN=HNRNPH2 PE=1 SV=1,HNRNPH2,64,436,449,49.232,6.3,27,0.996323677,0.881575023,0.570745785,0.462492745,0.333039415,0.237302253,0.175923442,0.120854557,0.102919268,0.090906225,8
Q15042,Rab3 GTPase-activating protein catalytic subunit OS=Homo sapiens GN=RAB3GAP1 PE=1 SV=3,RAB3GAP1,56,132,981,110.454,5.55,63,0.996323677,0.944894616,0.733535261,0.412177567,0.234105323,0.166810703,0.100297894,0.071831757,0.05355898,0.041994917,4
O75832,26S proteasome non-ATPase regulatory subunit 10 OS=Homo sapiens GN=PSMD10 PE=1 SV=1,PSMD10,52,270,226,24.412,6.1,92,0.996323677,0.979361715,0.946206271,0.830177884,0.613930171,0.325945987,0.182832473,0.103408751,0.084908407,0.064079285,8
J3QQX2,Rho GDP-dissociation inhibitor 1 OS=Homo sapiens GN=ARHGDIA PE=4 SV=1,ARHGDIA,39,346,235,25.815,7.44,148,0.996323677,1.030078458,1.029966588,0.990146967,0.928798607,0.649791417,0.258961275,0.113714526,0.075864328,0.058203476,8
Q07812,Isoform Beta of Apoptosis regulator BAX OS=Homo sapiens GN=BAX,BAX,43,245,218,24.204,7.9,100,0.996323677,1.029576626,1.00554821,0.984497078,0.949226675,0.839592489,0.75157753,0.643855636,0.580187915,0.545684504,8
Q15942,Zyxin OS=Homo sapiens GN=ZYX PE=1 SV=1,ZYX,72,544,572,61.238,6.67,172,0.996323677,1.007761508,1.02057745,0.97897839,0.911736633,0.857825502,0.708852187,0.596302699,0.529826148,0.466799218,8
Q9NZI8,Insulin-like growth factor 2 mRNA-binding protein 1 OS=Homo sapiens GN=IGF2BP1 PE=1 SV=2,IGF2BP1,122,351,577,63.441,9.2,121,0.996323677,0.644369265,0.295767469,0.207236971,0.139837653,0.094109771,0.059361912,0.044567002,0.035272218,0.027763706,8
Q99590,Protein SCAF11 OS=Homo sapiens GN=SCAF11 PE=1 SV=2,SCAF11,125,319,1463,164.551,8.41,140,0.996323677,1.040594816,1.027080037,1.007432471,0.989317874,0.945661638,0.852980008,0.60485491,0.430112722,0.348014245,8
P42574,Caspase-3 OS=Homo sapiens GN=CASP3 PE=1 SV=2,CASP3,60,360,277,31.587,6.54,132,0.996323677,1.020951373,1.022536967,0.991182031,0.990835827,0.9108693,0.771572878,0.640945786,0.556466711,0.484788269,8
P36578,60S ribosomal protein L4 OS=Homo sapiens GN=RPL4 PE=1 SV=5,RPL4,92,438,427,47.667,11.06,180,0.996323677,1.043726402,1.01185932,0.986631787,0.954750582,0.959070523,0.914733359,0.557226055,0.158527108,0.092952169,8
P46063,ATP-dependent DNA helicase Q1 OS=Homo sapiens GN=RECQL PE=1 SV=3,RECQL,95,368,649,73.41,7.88,156,0.996323677,0.994938912,1.033014105,0.990382351,0.932970886,0.806583241,0.443379583,0.114933163,0.076940365,0.05507761,8
Q13617,Isoform 2 of Cullin-2 OS=Homo sapiens GN=CUL2,CUL2,158,565,764,89.434,7.11,213,0.996323677,0.992386383,0.989105885,0.945389444,0.890610689,0.681914719,0.356532387,0.121178948,0.078232387,0.061305467,8
Q9NP81,"Serine--tRNA ligase, mitochondrial OS=Homo sapiens GN=SARS2 PE=1 SV=1",SARS2,68,178,518,58.246,8.13,53,0.996323677,1.019213039,0.96477075,0.830262029,0.462654158,0.26994303,0.163860679,0.118322875,0.081557604,0.058941634,6
P62942,Peptidyl-prolyl cis-trans isomerase FKBP1A OS=Homo sapiens GN=FKBP1A PE=1 SV=2,FKBP1A,32,366,108,11.943,8.16,153,0.996323677,0.967322303,1.013148344,0.950221601,0.911322912,0.83285346,0.700291538,0.539614558,0.328245225,0.170793493,8
Q86V48,Leucine zipper protein 1 OS=Homo sapiens GN=LUZP1 PE=1 SV=2,LUZP1,90,222,1076,120.202,8.5,84,0.996323677,0.983066241,0.97017882,0.894873862,0.821412443,0.708806281,0.561564057,0.467497901,0.385425062,0.373255202,8
