Accession,Description,GeneName,Peptides.DMSO,PSMs.DMSO,AAs.DMSO,MW.kDA.DMSO,pI.DMSO,QuantifyingPSMs.DMSO,T37,T40,T43,T46,T49,T52,T55,T58,T61,T64
O14777,Kinetochore protein NDC80 homolog OS=Homo sapiens GN=NDC80 PE=1 SV=1,NDC80,18,40,642,73.867,5.6,17,0.993,0.888,0.722,0.399,0.260,0.151,0.096,0.069,0.044,0.042
O14787,Isoform 2 of Transportin-2 OS=Homo sapiens GN=TNPO2,TNPO2,14,55,887,100.343,4.98,9,0.993,0.972,0.888,0.632,0.450,0.365,0.189,0.118,0.098,0.079
O14802,DNA-directed RNA polymerase III subunit RPC1 OS=Homo sapiens GN=POLR3A PE=1 SV=2,POLR3A,24,55,1390,155.542,8.48,22,0.993,0.938,0.851,0.533,0.334,0.206,0.146,0.105,0.095,0.091
O14818,Proteasome subunit alpha type-7 OS=Homo sapiens GN=PSMA7 PE=1 SV=1,PSMA7,31,463,248,27.87,8.46,16,0.993,1.014,0.980,0.900,0.762,0.603,0.517,0.443,0.397,0.345
O14828,Secretory carrier-associated membrane protein 3 OS=Homo sapiens GN=SCAMP3 PE=1 SV=3,SCAMP3,5,10,347,38.262,7.64,4,0.993,1.149,0.992,0.945,0.708,0.561,0.295,0.201,0.153,0.113
O14841,5-oxoprolinase OS=Homo sapiens GN=OPLAH PE=1 SV=3,OPLAH,8,20,1288,137.371,6.58,8,0.993,0.995,0.914,0.889,0.715,0.481,0.183,0.081,0.044,0.047
O14867,Transcription regulator protein BACH1 OS=Homo sapiens GN=BACH1 PE=1 SV=2,BACH1,10,23,736,81.906,5.05,10,0.993,0.950,0.942,0.845,0.816,0.578,0.543,0.381,0.283,0.265
O14893,Gem-associated protein 2 OS=Homo sapiens GN=GEMIN2 PE=1 SV=1,GEMIN2,2,8,280,31.565,5.58,4,0.993,0.952,0.900,0.545,0.261,0.149,0.064,0.035,0.036,0.046
O14908,PDZ domain-containing protein GIPC1 OS=Homo sapiens GN=GIPC1 PE=1 SV=2,GIPC1,5,18,333,36.027,6.28,6,0.993,0.940,0.820,0.625,0.340,0.191,0.100,0.075,0.053,0.045
O14920,Inhibitor of nuclear factor kappa-B kinase subunit beta OS=Homo sapiens GN=IKBKB PE=1 SV=1,IKBKB,2,4,756,86.509,5.78,2,0.993,0.930,0.819,0.602,0.364,0.252,0.157,0.156,0.059,0.117
O14929,Histone acetyltransferase type B catalytic subunit OS=Homo sapiens GN=HAT1 PE=1 SV=1,HAT1,14,130,419,49.481,5.69,44,0.993,0.996,0.911,0.812,0.533,0.260,0.118,0.079,0.057,0.057
O14964,Hepatocyte growth factor-regulated tyrosine kinase substrate OS=Homo sapiens GN=HGS PE=1 SV=1,HGS,20,103,777,86.138,6.16,38,0.993,0.952,0.973,0.849,0.663,0.357,0.176,0.112,0.077,0.060
O14965,Aurora kinase A OS=Homo sapiens GN=AURKA PE=1 SV=2,AURKA,4,12,403,45.781,9.39,5,0.993,0.978,0.938,0.856,0.714,0.439,0.283,0.183,0.139,0.086
O14972,Down syndrome critical region protein 3 OS=Homo sapiens GN=DSCR3 PE=2 SV=1,DSCR3,4,8,297,32.989,7.68,4,0.993,0.918,0.795,0.642,0.436,0.262,0.155,0.081,0.078,0.053
O14974,Protein phosphatase 1 regulatory subunit 12A OS=Homo sapiens GN=PPP1R12A PE=1 SV=1,PPP1R12A,31,114,1030,115.211,5.4,39,0.993,0.973,0.936,0.780,0.432,0.246,0.169,0.115,0.091,0.069
O14976,Cyclin-G-associated kinase OS=Homo sapiens GN=GAK PE=1 SV=2,GAK,11,24,1311,143.1,5.73,9,0.993,1.004,0.818,0.573,0.363,0.245,0.146,0.110,0.085,0.075
O14979,Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens GN=HNRPDL PE=1 SV=3,HNRPDL,12,75,420,46.409,9.57,12,0.993,0.931,0.878,0.763,0.524,0.373,0.253,0.191,0.138,0.146
O14980,Exportin-1 OS=Homo sapiens GN=XPO1 PE=1 SV=1,XPO1,33,181,1071,123.306,6.06,59,0.993,0.966,0.906,0.692,0.345,0.215,0.096,0.060,0.042,0.036
O14981,TATA-binding protein-associated factor 172 OS=Homo sapiens GN=BTAF1 PE=1 SV=2,BTAF1,9,16,1849,206.756,6.52,8,0.993,1.020,0.953,0.786,0.471,0.326,0.167,0.114,0.090,0.081
O15014,Zinc finger protein 609 OS=Homo sapiens GN=ZNF609 PE=1 SV=2,ZNF609,15,35,1411,151.098,8.03,18,0.993,0.902,0.885,0.694,0.567,0.373,0.271,0.171,0.125,0.070
O15031,Plexin-B2 OS=Homo sapiens GN=PLXNB2 PE=1 SV=3,PLXNB2,1,2,1838,204.997,6.24,1,0.993,1.141,0.957,1.096,0.915,0.703,0.772,0.733,0.683,0.647
O15042,U2 snRNP-associated SURP motif-containing protein OS=Homo sapiens GN=U2SURP PE=1 SV=2,U2SURP,11,37,1029,118.219,8.47,14,0.993,1.032,1.059,0.733,0.457,0.370,0.217,0.145,0.110,0.089
O15047,Histone-lysine N-methyltransferase SETD1A OS=Homo sapiens GN=SETD1A PE=1 SV=3,SETD1A,7,14,1707,185.92,5.14,6,0.993,0.943,0.753,0.555,0.441,0.376,0.225,0.152,0.143,0.128
O15056,Synaptojanin-2 OS=Homo sapiens GN=SYNJ2 PE=1 SV=3,SYNJ2,5,10,1496,165.435,7.34,5,0.993,0.874,0.903,0.675,0.405,0.327,0.204,0.203,0.100,0.114
O15067,Phosphoribosylformylglycinamidine synthase OS=Homo sapiens GN=PFAS PE=1 SV=4,PFAS,31,115,1338,144.643,5.76,44,0.993,0.905,0.863,0.600,0.375,0.224,0.122,0.077,0.070,0.060
O15084,Isoform 3 of Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A OS=Homo sapiens GN=ANKRD28,ANKRD28,9,21,1086,116.469,6.18,8,0.993,1.003,0.897,0.780,0.644,0.391,0.163,0.085,0.062,0.061
O15126,Secretory carrier-associated membrane protein 1 OS=Homo sapiens GN=SCAMP1 PE=1 SV=2,SCAMP1,1,2,338,37.896,7.42,1,0.993,1.035,1.199,1.165,1.080,0.806,0.805,0.645,0.468,0.362
O15143,Actin-related protein 2/3 complex subunit 1B OS=Homo sapiens GN=ARPC1B PE=1 SV=3,ARPC1B,12,84,372,40.923,8.35,33,0.993,0.981,0.970,0.885,0.784,0.571,0.512,0.373,0.219,0.092
O15144,Actin-related protein 2/3 complex subunit 2 OS=Homo sapiens GN=ARPC2 PE=1 SV=1,ARPC2,20,135,300,34.311,7.36,33,0.993,0.993,0.970,0.953,0.888,0.666,0.555,0.406,0.241,0.134
O15145,Actin-related protein 2/3 complex subunit 3 OS=Homo sapiens GN=ARPC3 PE=1 SV=3,ARPC3,3,6,178,20.533,8.59,5,0.993,0.915,1.022,0.866,0.708,0.498,0.465,0.230,0.162,0.094
O15156,Isoform 2 of Zinc finger and BTB domain-containing protein 7B OS=Homo sapiens GN=ZBTB7B,ZBTB7B,2,8,573,61.545,5.78,4,0.993,1.081,0.996,0.712,0.836,0.434,0.440,0.347,0.191,0.231
O15160,DNA-directed RNA polymerases I and III subunit RPAC1 OS=Homo sapiens GN=POLR1C PE=1 SV=1,POLR1C,11,25,346,39.225,5.5,9,0.993,0.993,0.892,0.696,0.488,0.391,0.212,0.127,0.088,0.082
O15164,Transcription intermediary factor 1-alpha OS=Homo sapiens GN=TRIM24 PE=1 SV=3,TRIM24,6,12,1050,116.757,7.11,3,0.993,0.933,0.761,0.537,0.440,0.286,0.187,0.117,0.136,0.068
O15212,Prefoldin subunit 6 OS=Homo sapiens GN=PFDN6 PE=1 SV=1,PFDN6,9,131,129,14.574,8.88,47,0.993,0.986,0.976,0.914,0.874,0.686,0.660,0.540,0.415,0.288
O15234,Protein CASC3 OS=Homo sapiens GN=CASC3 PE=1 SV=2,CASC3,10,23,703,76.232,6.48,9,0.993,1.030,0.987,0.988,0.876,0.770,0.787,0.923,1.076,0.841
O15235,"28S ribosomal protein S12, mitochondrial OS=Homo sapiens GN=MRPS12 PE=1 SV=1",MRPS12,4,12,138,15.163,10.29,2,0.993,0.920,0.710,0.549,0.301,0.265,0.106,0.073,0.057,0.077
O15247,Chloride intracellular channel protein 2 OS=Homo sapiens GN=CLIC2 PE=1 SV=3,CLIC2,11,32,247,28.338,5.59,15,0.993,0.952,0.873,0.637,0.307,0.179,0.090,0.059,0.030,0.049
O15294,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit OS=Homo sapiens GN=OGT PE=1 SV=3,OGT,15,45,1046,116.85,6.7,11,0.993,0.936,0.871,0.713,0.446,0.230,0.154,0.095,0.069,0.069
O15305,Phosphomannomutase 2 OS=Homo sapiens GN=PMM2 PE=1 SV=1,PMM2,12,55,246,28.064,6.77,16,0.993,0.994,0.983,0.894,0.772,0.569,0.411,0.201,0.103,0.090
O15318,DNA-directed RNA polymerase III subunit RPC7 OS=Homo sapiens GN=POLR3G PE=1 SV=2,POLR3G,4,12,223,25.898,4.63,6,0.993,1.048,0.902,0.736,0.732,0.557,0.441,0.271,0.185,0.155
O15344,E3 ubiquitin-protein ligase Midline-1 OS=Homo sapiens GN=MID1 PE=1 SV=1,MID1,7,14,667,75.203,6.8,7,0.993,0.941,0.935,0.748,0.429,0.222,0.141,0.069,0.070,0.078
O15347,High mobility group protein B3 OS=Homo sapiens GN=HMGB3 PE=1 SV=4,HMGB3,8,48,200,22.965,8.37,16,0.993,1.008,1.024,0.973,0.862,0.671,0.592,0.473,0.375,0.302
O15355,Protein phosphatase 1G OS=Homo sapiens GN=PPM1G PE=1 SV=1,PPM1G,24,140,546,59.235,4.36,58,0.993,0.907,0.764,0.384,0.221,0.109,0.077,0.056,0.043,0.043
O15357,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 OS=Homo sapiens GN=INPPL1 PE=1 SV=2",INPPL1,6,11,1258,138.513,6.54,3,0.993,0.961,0.904,0.731,0.492,0.316,0.185,0.141,0.112,0.091
O15371,Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens GN=EIF3D PE=1 SV=1,EIF3D,21,116,548,63.932,6.05,41,0.993,0.985,0.869,0.683,0.446,0.318,0.183,0.147,0.113,0.076
O15379,Isoform 2 of Histone deacetylase 3 OS=Homo sapiens GN=HDAC3,HDAC3,4,10,429,49.08,5.33,3,0.993,0.920,0.821,0.602,0.554,0.376,0.257,0.144,0.097,0.095
O15382,"Branched-chain-amino-acid aminotransferase, mitochondrial OS=Homo sapiens GN=BCAT2 PE=1 SV=2",BCAT2,17,59,392,44.259,8.65,26,0.993,0.975,0.962,0.904,0.817,0.662,0.565,0.468,0.342,0.224
O15392,Baculoviral IAP repeat-containing protein 5 OS=Homo sapiens GN=BIRC5 PE=1 SV=3,BIRC5,2,6,142,16.378,5.9,2,0.993,0.960,1.052,0.994,1.110,0.914,0.888,0.560,0.535,0.355
O15397,Importin-8 OS=Homo sapiens GN=IPO8 PE=1 SV=2,IPO8,4,8,1037,119.861,5.16,3,0.993,0.968,0.719,0.418,0.218,0.132,0.065,0.041,0.044,0.060
O15400,Syntaxin-7 OS=Homo sapiens GN=STX7 PE=1 SV=4,STX7,3,8,261,29.797,5.55,3,0.993,1.093,0.979,1.059,0.997,0.775,0.513,0.516,0.390,0.174
O15446,Isoform 2 of DNA-directed RNA polymerase I subunit RPA34 OS=Homo sapiens GN=CD3EAP,CD3EAP,13,53,512,55.137,8.37,23,0.993,1.043,1.046,1.003,1.074,0.943,1.052,0.818,0.584,0.507
O15479,Melanoma-associated antigen B2 OS=Homo sapiens GN=MAGEB2 PE=1 SV=3,MAGEB2,2,8,319,35.255,8.76,4,0.993,1.020,1.005,0.906,0.429,0.190,0.069,0.019,0.014,0.027
O15498,Synaptobrevin homolog YKT6 OS=Homo sapiens GN=YKT6 PE=1 SV=1,YKT6,10,33,198,22.403,6.92,15,0.993,1.020,0.922,0.838,0.761,0.536,0.416,0.208,0.083,0.066
O15511,Actin-related protein 2/3 complex subunit 5 OS=Homo sapiens GN=ARPC5 PE=1 SV=3,ARPC5,12,50,151,16.31,5.67,14,0.993,0.986,0.957,0.905,0.819,0.622,0.574,0.441,0.273,0.134
O15530,3-phosphoinositide-dependent protein kinase 1 OS=Homo sapiens GN=PDPK1 PE=1 SV=1,PDPK1,9,17,556,63.112,7.36,6,0.993,0.992,0.903,0.749,0.439,0.242,0.117,0.075,0.069,0.077
O15541,RING finger protein 113A OS=Homo sapiens GN=RNF113A PE=1 SV=1,RNF113A,5,10,343,38.763,5.69,5,0.993,0.952,0.923,0.822,0.741,0.543,0.353,0.294,0.237,0.238
O43143,Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 OS=Homo sapiens GN=DHX15 PE=1 SV=2,DHX15,46,306,795,90.875,7.46,121,0.993,1.002,1.026,1.008,0.951,0.691,0.516,0.240,0.112,0.084
O43148,Isoform 2 of mRNA cap guanine-N7 methyltransferase OS=Homo sapiens GN=RNMT,RNMT,19,111,504,57.688,7.69,39,0.993,0.988,0.953,0.929,0.829,0.594,0.464,0.289,0.143,0.095
O43149,Zinc finger ZZ-type and EF-hand domain-containing protein 1 OS=Homo sapiens GN=ZZEF1 PE=1 SV=6,ZZEF1,3,6,2961,330.864,5.95,2,0.993,1.022,0.955,0.785,0.541,0.303,0.167,0.109,0.115,0.107
O43156,TELO2-interacting protein 1 homolog OS=Homo sapiens GN=TTI1 PE=1 SV=3,TTI1,3,8,1089,121.992,5.97,2,0.993,0.927,0.951,0.801,0.650,0.342,0.273,0.099,0.080,0.064
O43164,E3 ubiquitin-protein ligase Praja-2 OS=Homo sapiens GN=PJA2 PE=1 SV=4,PJA2,6,13,708,78.166,4.39,7,0.993,0.938,0.872,0.712,0.638,0.405,0.354,0.321,0.279,0.161
O43167,Zinc finger and BTB domain-containing protein 24 OS=Homo sapiens GN=ZBTB24 PE=1 SV=2,ZBTB24,2,4,697,78.233,7.61,2,0.993,1.196,0.826,0.787,0.598,0.536,0.201,0.077,0.064,0.067
O43172,U4/U6 small nuclear ribonucleoprotein Prp4 OS=Homo sapiens GN=PRPF4 PE=1 SV=2,PRPF4,17,52,522,58.412,7.42,21,0.993,1.022,1.062,0.810,0.540,0.365,0.197,0.134,0.105,0.090
O43175,D-3-phosphoglycerate dehydrogenase OS=Homo sapiens GN=PHGDH PE=1 SV=4,PHGDH,23,84,533,56.614,6.71,33,0.993,0.945,0.980,0.867,0.829,0.585,0.527,0.357,0.107,0.056
O43182,Rho GTPase-activating protein 6 OS=Homo sapiens GN=ARHGAP6 PE=1 SV=3,ARHGAP6,4,7,974,105.882,7.36,4,0.993,1.126,0.819,0.504,0.326,0.307,0.127,0.111,0.079,0.059
O43237,Cytoplasmic dynein 1 light intermediate chain 2 OS=Homo sapiens GN=DYNC1LI2 PE=1 SV=1,DYNC1LI2,9,16,492,54.066,6.38,9,0.993,0.993,0.939,0.765,0.449,0.274,0.153,0.129,0.088,0.062
O43242,26S proteasome non-ATPase regulatory subunit 3 OS=Homo sapiens GN=PSMD3 PE=1 SV=2,PSMD3,40,302,534,60.939,8.44,104,0.993,0.957,0.939,0.857,0.719,0.495,0.344,0.123,0.061,0.048
O43252,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1 OS=Homo sapiens GN=PAPSS1 PE=1 SV=2,PAPSS1,28,94,624,70.788,6.86,36,0.993,0.955,0.971,0.912,0.834,0.592,0.397,0.145,0.125,0.092
O43264,Centromere/kinetochore protein zw10 homolog OS=Homo sapiens GN=ZW10 PE=1 SV=3,ZW10,22,66,779,88.773,6.27,21,0.993,0.983,0.900,0.673,0.402,0.266,0.157,0.095,0.069,0.069
O43290,U4/U6.U5 tri-snRNP-associated protein 1 OS=Homo sapiens GN=SART1 PE=1 SV=1,SART1,38,105,800,90.2,6.13,47,0.993,1.012,1.133,1.093,0.919,0.661,0.600,0.443,0.298,0.207
O43314,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2 OS=Homo sapiens GN=PPIP5K2 PE=1 SV=3,PPIP5K2,25,89,1243,140.318,8.22,10,0.993,1.005,0.973,0.925,0.758,0.514,0.387,0.172,0.100,0.074
O43318,Mitogen-activated protein kinase kinase kinase 7 OS=Homo sapiens GN=MAP3K7 PE=1 SV=1,MAP3K7,14,42,606,67.153,7.11,16,0.993,0.947,0.863,0.641,0.359,0.230,0.146,0.104,0.083,0.087
O43324,Eukaryotic translation elongation factor 1 epsilon-1 OS=Homo sapiens GN=EEF1E1 PE=1 SV=1,EEF1E1,11,55,174,19.798,8.54,25,0.993,0.895,0.783,0.465,0.237,0.105,0.060,0.034,0.035,0.040
O43353,Receptor-interacting serine/threonine-protein kinase 2 OS=Homo sapiens GN=RIPK2 PE=1 SV=2,RIPK2,2,4,540,61.156,7.09,2,0.993,0.947,0.903,0.739,0.565,0.361,0.274,0.235,0.183,0.121
O43379,Isoform 4 of WD repeat-containing protein 62 OS=Homo sapiens GN=WDR62,WDR62,5,14,1523,166.407,5.88,6,0.993,1.050,0.844,0.732,0.474,0.348,0.219,0.169,0.129,0.119
O43390,Isoform 2 of Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens GN=HNRNPR,HNRNPR,31,215,636,71.17,8.13,29,0.993,0.894,0.766,0.546,0.218,0.079,0.048,0.029,0.024,0.033
O43395,U4/U6 small nuclear ribonucleoprotein Prp3 OS=Homo sapiens GN=PRPF3 PE=1 SV=2,PRPF3,15,53,683,77.481,9.5,21,0.993,0.996,1.013,0.735,0.416,0.254,0.180,0.147,0.111,0.103
O43396,Thioredoxin-like protein 1 OS=Homo sapiens GN=TXNL1 PE=1 SV=3,TXNL1,16,147,289,32.231,4.96,64,0.993,0.951,0.908,0.781,0.457,0.247,0.130,0.082,0.066,0.070
O43402,ER membrane protein complex subunit 8 OS=Homo sapiens GN=EMC8 PE=1 SV=1,EMC8,2,3,210,23.758,6.4,1,0.993,1.064,0.843,0.708,0.442,0.375,0.204,0.209,0.151,0.083
O43414,ERI1 exoribonuclease 3 OS=Homo sapiens GN=ERI3 PE=1 SV=2,ERI3,6,13,337,37.214,8.07,6,0.993,0.934,0.932,0.908,0.776,0.533,0.365,0.195,0.098,0.073
O43422,52 kDa repressor of the inhibitor of the protein kinase OS=Homo sapiens GN=PRKRIR PE=2 SV=2,PRKRIR,1,2,761,87.648,5.86,1,0.993,0.994,0.923,0.877,0.545,0.344,0.214,0.213,0.142,0.164
O43432,Isoform 3 of Eukaryotic translation initiation factor 4 gamma 3 OS=Homo sapiens GN=EIF4G3,EIF4G3,14,52,1591,177.169,5.39,5,0.993,0.944,0.777,0.388,0.260,0.152,0.072,0.053,0.054,0.062
O43435,Isoform C of T-box transcription factor TBX1 OS=Homo sapiens GN=TBX1,TBX1,2,4,495,52.633,8.69,2,0.993,0.998,0.992,0.784,0.515,0.228,0.155,0.073,0.047,0.050
O43447,Peptidyl-prolyl cis-trans isomerase H OS=Homo sapiens GN=PPIH PE=1 SV=1,PPIH,11,70,177,19.196,8.07,29,0.993,0.964,0.949,0.830,0.547,0.281,0.098,0.041,0.027,0.037
O43464,"Serine protease HTRA2, mitochondrial OS=Homo sapiens GN=HTRA2 PE=1 SV=2",HTRA2,3,10,458,48.811,10.07,5,0.993,0.977,1.033,0.964,0.914,0.641,0.617,0.477,0.322,0.247
O43482,Protein Mis18-beta OS=Homo sapiens GN=OIP5 PE=1 SV=2,OIP5,4,13,229,24.675,7.37,6,0.993,1.001,0.933,0.891,0.721,0.457,0.252,0.131,0.085,0.091
O43488,Aflatoxin B1 aldehyde reductase member 2 OS=Homo sapiens GN=AKR7A2 PE=1 SV=3,AKR7A2,10,39,359,39.564,7.17,13,0.993,0.948,0.958,0.956,0.827,0.562,0.236,0.145,0.103,0.086
O43491,Band 4.1-like protein 2 OS=Homo sapiens GN=EPB41L2 PE=1 SV=1,EPB41L2,43,201,1005,112.519,5.44,72,0.993,0.978,0.948,0.940,0.827,0.606,0.369,0.174,0.124,0.091
O43493,Trans-Golgi network integral membrane protein 2 OS=Homo sapiens GN=TGOLN2 PE=1 SV=2,TGOLN2,1,2,480,51.082,5.73,1,0.993,1.016,1.042,1.068,0.779,0.617,0.656,0.701,0.599,0.469
O43502,DNA repair protein RAD51 homolog 3 OS=Homo sapiens GN=RAD51C PE=1 SV=1,RAD51C,4,8,376,42.163,6.74,4,0.993,0.957,0.870,0.835,0.686,0.409,0.226,0.136,0.128,0.087
O43504,Ragulator complex protein LAMTOR5 OS=Homo sapiens GN=LAMTOR5 PE=1 SV=1,LAMTOR5,3,7,91,9.608,4.87,5,0.993,1.179,1.019,1.002,0.840,0.723,0.511,0.481,0.375,0.344
O43513,Mediator of RNA polymerase II transcription subunit 7 OS=Homo sapiens GN=MED7 PE=1 SV=1,MED7,2,6,233,27.228,5.78,2,0.993,1.029,1.183,0.939,0.725,0.192,0.167,0.158,0.171,0.193
O43524,Forkhead box protein O3 OS=Homo sapiens GN=FOXO3 PE=1 SV=1,FOXO3,1,2,673,71.232,5.16,1,0.993,0.914,0.878,0.566,0.410,0.235,0.179,0.145,0.142,0.117
O43583,Density-regulated protein OS=Homo sapiens GN=DENR PE=1 SV=2,DENR,8,44,198,22.078,5.3,18,0.993,0.982,0.982,0.920,0.856,0.661,0.632,0.494,0.368,0.234
O43592,Exportin-T OS=Homo sapiens GN=XPOT PE=1 SV=2,XPOT,28,110,962,109.893,5.39,37,0.993,0.981,0.918,0.756,0.429,0.241,0.150,0.100,0.077,0.065
O43615,Mitochondrial import inner membrane translocase subunit TIM44 OS=Homo sapiens GN=TIMM44 PE=1 SV=2,TIMM44,17,61,452,51.323,8.32,14,0.993,1.079,1.011,0.937,0.735,0.443,0.216,0.158,0.117,0.079
O43617,Trafficking protein particle complex subunit 3 OS=Homo sapiens GN=TRAPPC3 PE=1 SV=1,TRAPPC3,8,29,180,20.261,4.96,12,0.993,0.977,0.918,0.840,0.721,0.463,0.314,0.164,0.086,0.080
O43633,Charged multivesicular body protein 2a OS=Homo sapiens GN=CHMP2A PE=1 SV=1,CHMP2A,10,35,222,25.088,5.97,13,0.993,1.017,1.025,0.971,0.834,0.626,0.413,0.221,0.118,0.099
O43663,Protein regulator of cytokinesis 1 OS=Homo sapiens GN=PRC1 PE=1 SV=2,PRC1,1,2,620,71.562,6.68,1,0.993,0.998,0.825,0.475,0.429,0.300,0.252,0.197,0.200,0.205
O43665,Isoform 3 of Regulator of G-protein signaling 10 OS=Homo sapiens GN=RGS10,RGS10,6,20,181,21.197,7.49,4,0.993,0.989,0.950,0.778,0.740,0.418,0.195,0.139,0.109,0.105
O43678,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 OS=Homo sapiens GN=NDUFA2 PE=1 SV=3,NDUFA2,5,12,99,10.915,9.57,5,0.993,0.878,0.790,0.684,0.691,0.418,0.281,0.218,0.158,0.134
O43681,ATPase ASNA1 OS=Homo sapiens GN=ASNA1 PE=1 SV=2,ASNA1,7,23,348,38.767,4.91,9,0.993,1.018,0.930,0.918,0.786,0.599,0.504,0.334,0.138,0.065
O43683,Mitotic checkpoint serine/threonine-protein kinase BUB1 OS=Homo sapiens GN=BUB1 PE=1 SV=1,BUB1,14,30,1085,122.297,6.47,14,0.993,0.971,0.741,0.509,0.351,0.236,0.125,0.095,0.070,0.068
O43684,Mitotic checkpoint protein BUB3 OS=Homo sapiens GN=BUB3 PE=1 SV=1,BUB3,16,129,328,37.131,6.84,52,0.993,1.025,0.955,0.912,0.774,0.606,0.448,0.281,0.131,0.084
O43707,Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=2,ACTN4,88,1265,911,104.788,5.44,266,0.993,0.987,0.993,0.964,0.925,0.722,0.657,0.468,0.161,0.083
O43715,TP53-regulated inhibitor of apoptosis 1 OS=Homo sapiens GN=TRIAP1 PE=1 SV=1,TRIAP1,5,17,76,8.78,5.48,8,0.993,1.065,0.971,0.966,0.855,0.723,0.638,0.549,0.385,0.310
O43719,HIV Tat-specific factor 1 OS=Homo sapiens GN=HTATSF1 PE=1 SV=1,HTATSF1,13,37,755,85.801,4.4,18,0.993,0.916,0.837,0.481,0.306,0.172,0.121,0.081,0.073,0.072
O43752,Syntaxin-6 OS=Homo sapiens GN=STX6 PE=1 SV=1,STX6,1,2,255,29.158,4.93,1,0.993,0.880,0.888,0.876,0.617,0.427,0.267,0.194,0.131,0.119
O43765,Small glutamine-rich tetratricopeptide repeat-containing protein alpha OS=Homo sapiens GN=SGTA PE=1 SV=1,SGTA,17,117,313,34.042,4.87,44,0.993,0.961,0.955,0.849,0.581,0.268,0.144,0.080,0.079,0.072
O43766,"Lipoyl synthase, mitochondrial OS=Homo sapiens GN=LIAS PE=1 SV=3",LIAS,9,18,372,41.884,8.59,8,0.993,0.991,0.918,0.823,0.727,0.584,0.394,0.340,0.218,0.170
O43776,"Asparagine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=NARS PE=1 SV=1",NARS,25,148,548,62.903,6.25,60,0.993,0.967,0.982,0.939,0.863,0.635,0.452,0.230,0.101,0.085
O43809,Cleavage and polyadenylation specificity factor subunit 5 OS=Homo sapiens GN=NUDT21 PE=1 SV=1,NUDT21,8,47,227,26.211,8.82,16,0.993,0.971,0.994,0.944,0.751,0.467,0.340,0.150,0.051,0.032
O43813,LanC-like protein 1 OS=Homo sapiens GN=LANCL1 PE=1 SV=1,LANCL1,13,51,399,45.254,7.75,15,0.993,1.002,1.020,0.965,0.805,0.622,0.562,0.414,0.303,0.137
O43815,Striatin OS=Homo sapiens GN=STRN PE=1 SV=4,STRN,16,46,780,86.079,5.27,16,0.993,0.990,0.990,0.896,0.766,0.521,0.250,0.124,0.078,0.069
O43818,U3 small nucleolar RNA-interacting protein 2 OS=Homo sapiens GN=RRP9 PE=1 SV=1,RRP9,4,14,475,51.809,7.85,5,0.993,0.923,1.030,0.947,0.908,0.674,0.616,0.448,0.382,0.237
O43823,A-kinase anchor protein 8 OS=Homo sapiens GN=AKAP8 PE=1 SV=1,AKAP8,8,18,692,76.061,5.15,9,0.993,0.936,0.836,0.603,0.372,0.210,0.139,0.081,0.074,0.075
O43829,Zinc finger protein 161 homolog OS=Homo sapiens GN=ZFP161 PE=2 SV=2,ZFP161,2,6,449,50.924,6.04,1,0.993,0.997,0.964,0.818,0.788,0.574,0.430,0.257,0.230,0.258
O43837,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial OS=Homo sapiens GN=IDH3B PE=1 SV=2",IDH3B,12,44,385,42.157,8.46,18,0.993,0.974,0.876,0.755,0.493,0.317,0.192,0.118,0.075,0.063
O43852,Isoform 3 of Calumenin OS=Homo sapiens GN=CALU,CALU,36,274,323,38.027,4.63,49,0.993,0.962,0.919,0.852,0.780,0.646,0.582,0.486,0.370,0.350
O43865,Putative adenosylhomocysteinase 2 OS=Homo sapiens GN=AHCYL1 PE=1 SV=2,AHCYL1,17,52,530,58.913,6.89,10,0.993,0.958,0.893,0.821,0.607,0.439,0.325,0.192,0.125,0.084
O43896,Kinesin-like protein KIF1C OS=Homo sapiens GN=KIF1C PE=1 SV=3,KIF1C,5,9,1103,122.87,6.9,4,0.993,0.960,0.932,0.692,0.430,0.265,0.186,0.183,0.142,0.112
O43913,Origin recognition complex subunit 5 OS=Homo sapiens GN=ORC5 PE=1 SV=1,ORC5,9,19,435,50.251,7.74,6,0.993,0.931,0.798,0.470,0.268,0.158,0.129,0.086,0.062,0.067
O43924,"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta OS=Homo sapiens GN=PDE6D PE=1 SV=1",PDE6D,1,2,150,17.409,5.67,1,0.993,1.010,0.857,0.733,0.663,0.408,0.192,0.175,0.127,0.116
