Accession,Description,GeneName,Peptides.MTX,PSMs.MTX,AAs.MTX,MW.kDA.MTX,pI.MTX,QuantifyingPSMs.MTX,T37,T40,T43,T46,T49,T52,T55,T58,T61,T64
O75771,Isoform 8 of DNA repair protein RAD51 homolog 4 OS=Homo sapiens GN=RAD51D,RAD51D,2,4,348,36.991,7.8,2,0.996,0.908,0.923,0.858,0.704,0.401,0.231,0.095,0.059,0.029
O75781,Paralemmin-1 OS=Homo sapiens GN=PALM PE=1 SV=2,PALM,12,34,387,42.05,5,13,0.996,0.980,0.978,0.915,0.891,0.744,0.690,0.544,0.500,0.324
O75792,Ribonuclease H2 subunit A OS=Homo sapiens GN=RNASEH2A PE=1 SV=2,RNASEH2A,13,37,299,33.374,5.25,13,0.996,0.990,0.887,0.758,0.480,0.316,0.180,0.123,0.103,0.095
O75794,Cell division cycle protein 123 homolog OS=Homo sapiens GN=CDC123 PE=1 SV=1,CDC123,2,8,336,39.11,4.81,4,0.996,0.937,1.034,0.826,0.626,0.368,0.296,0.213,0.165,0.156
O75808,Calpain-15 OS=Homo sapiens GN=SOLH PE=1 SV=1,SOLH,2,4,1086,117.239,6.71,2,0.996,0.922,0.940,0.606,0.502,0.333,0.308,0.292,0.248,0.199
O75817,Ribonuclease P protein subunit p20 OS=Homo sapiens GN=POP7 PE=1 SV=2,POP7,1,2,140,15.641,8.94,1,0.996,0.868,0.972,0.825,0.758,0.473,0.388,0.210,0.134,0.104
O75818,Ribonuclease P protein subunit p40 OS=Homo sapiens GN=RPP40 PE=1 SV=3,RPP40,3,10,363,41.807,6.67,2,0.996,0.832,1.034,0.940,0.965,0.650,0.595,0.319,0.175,0.122
O75821,Eukaryotic translation initiation factor 3 subunit G OS=Homo sapiens GN=EIF3G PE=1 SV=2,EIF3G,17,85,320,35.589,6.13,17,0.996,0.956,0.940,0.797,0.516,0.346,0.198,0.137,0.108,0.103
O75822,Eukaryotic translation initiation factor 3 subunit J OS=Homo sapiens GN=EIF3J PE=1 SV=2,EIF3J,28,195,258,29.045,4.83,76,0.996,0.994,0.986,0.964,0.909,0.644,0.368,0.159,0.107,0.083
O75832,26S proteasome non-ATPase regulatory subunit 10 OS=Homo sapiens GN=PSMD10 PE=1 SV=1,PSMD10,10,83,226,24.412,6.1,21,0.996,1.005,0.983,0.919,0.630,0.404,0.274,0.148,0.123,0.098
O75874,Isocitrate dehydrogenase [NADP] cytoplasmic OS=Homo sapiens GN=IDH1 PE=1 SV=2,IDH1,25,123,414,46.63,7.01,43,0.996,0.976,0.957,0.939,0.884,0.747,0.664,0.522,0.240,0.115
O75879,"Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial OS=Homo sapiens GN=PET112 PE=1 SV=1",PET112,1,2,557,61.825,8.63,1,0.996,0.890,0.818,0.583,0.389,0.297,0.216,0.166,0.099,0.068
O75880,"Protein SCO1 homolog, mitochondrial OS=Homo sapiens GN=SCO1 PE=1 SV=1",SCO1,2,4,301,33.793,8.88,2,0.996,0.760,0.923,0.875,0.715,0.421,0.242,0.175,0.185,0.140
O75884,Putative hydrolase RBBP9 OS=Homo sapiens GN=RBBP9 PE=1 SV=2,RBBP9,1,1,186,20.986,6.2,1,0.996,0.911,1.063,0.864,0.637,0.386,0.309,0.265,0.194,0.148
O75909,Isoform 4 of Cyclin-K OS=Homo sapiens GN=CCNK,CCNK,13,41,600,66.095,8.63,19,0.996,0.970,1.020,0.949,0.845,0.658,0.347,0.153,0.095,0.112
O75914,Isoform 3 of Serine/threonine-protein kinase PAK 3 OS=Homo sapiens GN=PAK3,PAK3,13,40,580,64.49,5.53,12,0.996,0.928,0.967,0.934,0.927,0.703,0.586,0.317,0.122,0.091
O75934,Pre-mRNA-splicing factor SPF27 OS=Homo sapiens GN=BCAS2 PE=1 SV=1,BCAS2,6,20,225,26.115,5.66,8,0.996,0.987,0.946,0.810,0.583,0.326,0.246,0.160,0.124,0.083
O75935,Dynactin subunit 3 OS=Homo sapiens GN=DCTN3 PE=1 SV=1,DCTN3,7,29,186,21.106,5.47,9,0.996,1.038,0.910,0.851,0.458,0.246,0.147,0.109,0.108,0.105
O75937,DnaJ homolog subfamily C member 8 OS=Homo sapiens GN=DNAJC8 PE=1 SV=2,DNAJC8,15,77,253,29.823,9.06,31,0.996,0.988,0.997,0.896,0.642,0.390,0.223,0.136,0.104,0.093
O75940,Survival of motor neuron-related-splicing factor 30 OS=Homo sapiens GN=SMNDC1 PE=1 SV=1,SMNDC1,9,24,238,26.694,7.24,9,0.996,0.983,1.036,0.962,0.837,0.691,0.883,0.799,0.606,0.593
O75955,Flotillin-1 OS=Homo sapiens GN=FLOT1 PE=1 SV=3,FLOT1,1,2,427,47.326,7.49,1,0.996,0.949,0.899,0.853,0.636,0.527,0.355,0.298,0.191,0.147
O75956,Cyclin-dependent kinase 2-associated protein 2 OS=Homo sapiens GN=CDK2AP2 PE=2 SV=1,CDK2AP2,2,9,126,13.093,9.48,5,0.996,0.896,0.892,0.651,0.601,0.458,0.426,0.314,0.218,0.215
O76003,Glutaredoxin-3 OS=Homo sapiens GN=GLRX3 PE=1 SV=2,GLRX3,22,162,335,37.408,5.39,62,0.996,0.959,0.949,0.851,0.533,0.305,0.196,0.134,0.102,0.091
O76021,Ribosomal L1 domain-containing protein 1 OS=Homo sapiens GN=RSL1D1 PE=1 SV=3,RSL1D1,20,54,490,54.939,10.13,23,0.996,1.039,1.083,1.058,0.841,0.558,0.265,0.165,0.114,0.084
O76031,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial OS=Homo sapiens GN=CLPX PE=1 SV=2",CLPX,25,70,633,69.181,7.58,22,0.996,0.910,0.716,0.556,0.452,0.282,0.252,0.144,0.070,0.067
O76070,Gamma-synuclein OS=Homo sapiens GN=SNCG PE=1 SV=2,SNCG,12,62,127,13.323,4.86,25,0.996,1.048,0.963,0.875,0.824,0.711,0.611,0.537,0.435,0.423
O76071,Probable cytosolic iron-sulfur protein assembly protein CIAO1 OS=Homo sapiens GN=CIAO1 PE=1 SV=1,CIAO1,4,20,339,37.816,4.97,10,0.996,1.031,0.981,0.928,0.736,0.623,0.382,0.252,0.190,0.155
O76075,DNA fragmentation factor subunit beta OS=Homo sapiens GN=DFFB PE=1 SV=1,DFFB,2,4,338,39.085,9,2,0.996,1.122,0.979,0.952,0.845,0.657,0.425,0.252,0.196,0.146
O76094,Signal recognition particle 72 kDa protein OS=Homo sapiens GN=SRP72 PE=1 SV=3,SRP72,24,77,671,74.56,9.26,26,0.996,1.047,1.004,0.851,0.481,0.272,0.132,0.085,0.064,0.072
O94761,ATP-dependent DNA helicase Q4 OS=Homo sapiens GN=RECQL4 PE=1 SV=1,RECQL4,5,14,1208,132.993,8.09,7,0.996,0.921,0.678,0.390,0.280,0.201,0.168,0.139,0.131,0.090
O94762,ATP-dependent DNA helicase Q5 OS=Homo sapiens GN=RECQL5 PE=1 SV=2,RECQL5,6,15,991,108.79,8.56,6,0.996,0.990,0.810,0.584,0.454,0.312,0.266,0.199,0.127,0.104
O94763,Unconventional prefoldin RPB5 interactor 1 OS=Homo sapiens GN=URI1 PE=1 SV=3,URI1,9,19,535,59.796,5.05,7,0.996,0.980,0.913,0.849,0.707,0.509,0.469,0.277,0.164,0.174
O94768,Serine/threonine-protein kinase 17B OS=Homo sapiens GN=STK17B PE=1 SV=1,STK17B,2,8,372,42.317,5.25,4,0.996,1.031,0.743,0.472,0.282,0.172,0.088,0.061,0.045,0.052
O94776,Metastasis-associated protein MTA2 OS=Homo sapiens GN=MTA2 PE=1 SV=1,MTA2,34,117,668,74.976,9.66,42,0.996,0.967,0.923,0.679,0.460,0.300,0.198,0.116,0.090,0.082
O94782,Ubiquitin carboxyl-terminal hydrolase 1 OS=Homo sapiens GN=USP1 PE=1 SV=1,USP1,2,5,785,88.152,5.45,2,0.996,0.954,0.976,0.825,0.486,0.303,0.182,0.100,0.125,0.113
O94788,Retinal dehydrogenase 2 OS=Homo sapiens GN=ALDH1A2 PE=1 SV=3,ALDH1A2,27,154,518,56.688,6.05,52,0.996,0.955,0.982,0.960,0.894,0.747,0.659,0.495,0.331,0.219
O94822,Isoform 3 of E3 ubiquitin-protein ligase listerin OS=Homo sapiens GN=LTN1,LTN1,10,24,1812,205.046,6.52,12,0.996,1.013,0.930,0.757,0.419,0.282,0.131,0.105,0.109,0.091
O94826,Mitochondrial import receptor subunit TOM70 OS=Homo sapiens GN=TOMM70A PE=1 SV=1,TOMM70A,5,9,608,67.412,7.12,3,0.996,0.979,0.998,0.865,0.620,0.378,0.260,0.182,0.160,0.127
O94830,Phospholipase DDHD2 OS=Homo sapiens GN=DDHD2 PE=1 SV=2,DDHD2,9,19,711,80.98,5.39,7,0.996,0.929,0.955,0.940,0.786,0.517,0.392,0.231,0.134,0.107
O94832,Unconventional myosin-Id OS=Homo sapiens GN=MYO1D PE=1 SV=2,MYO1D,13,25,1006,116.129,9.39,13,0.996,0.981,0.990,0.923,0.706,0.464,0.284,0.177,0.134,0.124
O94842,TOX high mobility group box family member 4 OS=Homo sapiens GN=TOX4 PE=1 SV=1,TOX4,12,32,621,66.153,5.06,15,0.996,0.997,0.910,0.697,0.526,0.353,0.233,0.147,0.089,0.086
O94874,E3 UFM1-protein ligase 1 OS=Homo sapiens GN=UFL1 PE=1 SV=2,UFL1,4,8,794,89.54,6.79,3,0.996,0.956,0.935,0.733,0.422,0.261,0.174,0.095,0.093,0.091
O94888,UBX domain-containing protein 7 OS=Homo sapiens GN=UBXN7 PE=1 SV=2,UBXN7,17,61,489,54.828,5.16,20,0.996,1.053,1.007,0.914,0.793,0.578,0.334,0.207,0.124,0.106
O94903,Proline synthase co-transcribed bacterial homolog protein OS=Homo sapiens GN=PROSC PE=1 SV=1,PROSC,11,28,275,30.325,7.5,13,0.996,0.970,0.914,0.711,0.502,0.367,0.222,0.148,0.114,0.105
O94913,Pre-mRNA cleavage complex 2 protein Pcf11 OS=Homo sapiens GN=PCF11 PE=1 SV=3,PCF11,6,18,1555,172.944,8.48,4,0.996,0.957,0.701,0.505,0.425,0.309,0.237,0.130,0.100,0.101
O94925,"Isoform 3 of Glutaminase kidney isoform, mitochondrial OS=Homo sapiens GN=GLS",GLS,8,18,669,73.414,7.77,8,0.996,0.929,0.860,0.641,0.344,0.195,0.097,0.069,0.067,0.055
O94927,HAUS augmin-like complex subunit 5 OS=Homo sapiens GN=HAUS5 PE=1 SV=2,HAUS5,4,8,633,71.638,8.51,4,0.996,0.970,0.910,0.522,0.349,0.185,0.089,0.056,0.067,0.060
O94964,Isoform 2 of Protein SOGA1 OS=Homo sapiens GN=SOGA1,SOGA1,3,6,1661,183.744,6.52,3,0.996,1.118,0.798,0.632,0.466,0.393,0.262,0.283,0.146,0.121
O94973,Isoform 2 of AP-2 complex subunit alpha-2 OS=Homo sapiens GN=AP2A2,AP2A2,14,43,939,103.895,6.96,9,0.996,1.042,0.974,0.923,0.847,0.632,0.320,0.173,0.117,0.096
O94992,Protein HEXIM1 OS=Homo sapiens GN=HEXIM1 PE=1 SV=1,HEXIM1,11,71,359,40.598,4.89,31,0.996,1.018,0.991,0.971,0.918,0.783,0.640,0.562,0.446,0.395
O95067,G2/mitotic-specific cyclin-B2 OS=Homo sapiens GN=CCNB2 PE=1 SV=1,CCNB2,13,38,398,45.253,8.9,14,0.996,1.022,1.044,0.878,0.725,0.534,0.326,0.199,0.114,0.088
O95071,E3 ubiquitin-protein ligase UBR5 OS=Homo sapiens GN=UBR5 PE=1 SV=2,UBR5,36,85,2799,309.158,5.85,29,0.996,0.934,0.783,0.567,0.449,0.281,0.173,0.095,0.080,0.068
O95081,Arf-GAP domain and FG repeat-containing protein 2 OS=Homo sapiens GN=AGFG2 PE=1 SV=2,AGFG2,2,5,481,48.932,9.11,2,0.996,0.892,0.729,0.333,0.286,0.121,0.119,0.042,0.061,0.044
O95104,"Splicing factor, arginine/serine-rich 15 OS=Homo sapiens GN=SCAF4 PE=1 SV=3",SCAF4,13,48,1147,125.79,9.55,18,0.996,0.982,0.946,0.609,0.363,0.241,0.165,0.122,0.118,0.077
O95155,Ubiquitin conjugation factor E4 B OS=Homo sapiens GN=UBE4B PE=1 SV=1,UBE4B,20,61,1302,146.092,6.55,19,0.996,1.016,0.957,0.894,0.675,0.427,0.239,0.153,0.139,0.094
O95163,Elongator complex protein 1 OS=Homo sapiens GN=IKBKAP PE=1 SV=3,IKBKAP,39,128,1332,150.159,5.94,48,0.996,1.014,0.973,0.936,0.850,0.590,0.450,0.188,0.126,0.096
O95182,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 OS=Homo sapiens GN=NDUFA7 PE=1 SV=3,NDUFA7,7,20,113,12.544,10.18,2,0.996,1.014,0.986,0.987,1.190,1.279,1.322,1.150,0.902,0.814
O95197,Reticulon-3 OS=Homo sapiens GN=RTN3 PE=1 SV=2,RTN3,3,12,1032,112.541,4.96,3,0.996,0.923,0.849,0.853,0.734,0.560,0.457,0.359,0.279,0.225
O95202,"LETM1 and EF-hand domain-containing protein 1, mitochondrial OS=Homo sapiens GN=LETM1 PE=1 SV=1",LETM1,7,14,739,83.302,6.7,6,0.996,1.047,1.007,1.106,1.102,0.896,1.053,0.989,0.515,0.179
O95218,Zinc finger Ran-binding domain-containing protein 2 OS=Homo sapiens GN=ZRANB2 PE=1 SV=2,ZRANB2,25,101,330,37.382,10.01,37,0.996,0.990,0.966,0.882,0.776,0.644,0.564,0.491,0.414,0.356
O95229,ZW10 interactor OS=Homo sapiens GN=ZWINT PE=1 SV=2,ZWINT,3,6,277,31.274,5.15,2,0.996,0.894,0.702,0.510,0.337,0.186,0.117,0.074,0.077,0.072
O95239,Chromosome-associated kinesin KIF4A OS=Homo sapiens GN=KIF4A PE=1 SV=3,KIF4A,35,102,1232,139.794,6.27,30,0.996,0.963,0.689,0.271,0.216,0.147,0.088,0.065,0.062,0.060
O95251,Histone acetyltransferase KAT7 OS=Homo sapiens GN=KAT7 PE=1 SV=1,KAT7,2,4,611,70.598,8.85,2,0.996,0.906,0.796,0.416,0.314,0.216,0.159,0.066,0.096,0.072
O95260,Arginyl-tRNA--protein transferase 1 OS=Homo sapiens GN=ATE1 PE=1 SV=2,ATE1,2,4,518,59.052,7.93,2,0.996,1.095,0.968,0.918,0.755,0.615,0.337,0.247,0.207,0.209
O95273,Cyclin-D1-binding protein 1 OS=Homo sapiens GN=CCNDBP1 PE=1 SV=2,CCNDBP1,4,10,360,40.236,4.82,4,0.996,1.040,0.996,0.764,0.465,0.295,0.132,0.092,0.091,0.087
O95292,Vesicle-associated membrane protein-associated protein B/C OS=Homo sapiens GN=VAPB PE=1 SV=3,VAPB,10,39,243,27.211,7.3,10,0.996,0.989,1.086,1.091,0.935,0.726,0.516,0.276,0.161,0.094
O95295,SNARE-associated protein Snapin OS=Homo sapiens GN=SNAPIN PE=1 SV=1,SNAPIN,5,9,136,14.865,9.31,4,0.996,1.049,0.961,0.967,0.853,0.662,0.514,0.281,0.191,0.153
O95297,Myelin protein zero-like protein 1 OS=Homo sapiens GN=MPZL1 PE=1 SV=1,MPZL1,2,4,269,29.064,8.72,2,0.996,1.072,0.986,0.931,0.831,0.778,0.653,0.560,0.469,0.360
O95336,6-phosphogluconolactonase OS=Homo sapiens GN=PGLS PE=1 SV=2,PGLS,18,109,258,27.53,6.05,36,0.996,0.972,0.994,0.957,0.905,0.686,0.567,0.436,0.290,0.192
O95347,Structural maintenance of chromosomes protein 2 OS=Homo sapiens GN=SMC2 PE=1 SV=2,SMC2,57,203,1197,135.572,8.43,67,0.996,0.992,0.927,0.767,0.407,0.271,0.136,0.103,0.090,0.075
O95352,Ubiquitin-like modifier-activating enzyme ATG7 OS=Homo sapiens GN=ATG7 PE=1 SV=1,ATG7,7,15,703,77.909,6.24,6,0.996,0.972,0.999,0.897,0.748,0.438,0.230,0.149,0.138,0.118
O95363,"Phenylalanine--tRNA ligase, mitochondrial OS=Homo sapiens GN=FARS2 PE=1 SV=1",FARS2,8,15,451,52.324,7.46,5,0.996,0.962,0.837,0.616,0.384,0.312,0.173,0.105,0.116,0.068
O95372,Acyl-protein thioesterase 2 OS=Homo sapiens GN=LYPLA2 PE=1 SV=1,LYPLA2,12,99,231,24.721,7.23,43,0.996,0.981,0.987,0.963,0.875,0.617,0.432,0.168,0.109,0.073
O95373,Importin-7 OS=Homo sapiens GN=IPO7 PE=1 SV=1,IPO7,37,196,1038,119.44,4.82,73,0.996,0.970,0.963,0.816,0.543,0.354,0.168,0.088,0.063,0.060
O95376,E3 ubiquitin-protein ligase ARIH2 OS=Homo sapiens GN=ARIH2 PE=1 SV=1,ARIH2,13,32,493,57.781,5.63,11,0.996,1.041,0.977,0.938,0.843,0.650,0.354,0.217,0.148,0.143
O95396,Adenylyltransferase and sulfurtransferase MOCS3 OS=Homo sapiens GN=MOCS3 PE=1 SV=1,MOCS3,1,2,460,49.638,6.21,1,0.996,1.182,0.843,0.713,0.484,0.537,0.314,0.180,0.160,0.137
O95400,CD2 antigen cytoplasmic tail-binding protein 2 OS=Homo sapiens GN=CD2BP2 PE=1 SV=1,CD2BP2,3,6,341,37.623,4.61,2,0.996,1.026,0.954,0.761,0.434,0.295,0.209,0.146,0.123,0.125
O95429,BAG family molecular chaperone regulator 4 OS=Homo sapiens GN=BAG4 PE=1 SV=1,BAG4,4,12,457,49.563,5.12,5,0.996,0.859,0.943,0.808,0.603,0.415,0.273,0.218,0.118,0.164
O95433,Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Homo sapiens GN=AHSA1 PE=1 SV=1,AHSA1,20,121,338,38.25,5.53,39,0.996,0.984,0.994,0.879,0.647,0.365,0.174,0.099,0.077,0.062
O95453,Poly(A)-specific ribonuclease PARN OS=Homo sapiens GN=PARN PE=1 SV=1,PARN,17,41,639,73.405,6.2,16,0.996,0.987,0.960,0.822,0.490,0.309,0.195,0.134,0.102,0.079
O95456,Proteasome assembly chaperone 1 OS=Homo sapiens GN=PSMG1 PE=1 SV=1,PSMG1,13,48,288,32.833,7.17,19,0.996,0.989,1.023,0.980,0.913,0.741,0.556,0.335,0.171,0.120
O95466,Isoform 3 of Formin-like protein 1 OS=Homo sapiens GN=FMNL1,FMNL1,7,12,1158,128.254,6.04,6,0.996,1.109,0.756,0.520,0.408,0.357,0.199,0.155,0.128,0.100
O95486,Protein transport protein Sec24A OS=Homo sapiens GN=SEC24A PE=1 SV=2,SEC24A,11,27,1093,119.674,7.66,8,0.996,1.036,0.947,0.763,0.475,0.341,0.184,0.142,0.122,0.097
O95544,NAD kinase OS=Homo sapiens GN=NADK PE=1 SV=1,NADK,4,9,446,49.197,6.47,4,0.996,0.948,1.047,0.937,0.889,0.622,0.469,0.393,0.298,0.270
O95551,Isoform 2 of Tyrosyl-DNA phosphodiesterase 2 OS=Homo sapiens GN=TDP2,TDP2,9,20,392,44.31,5.66,7,0.996,0.997,0.916,0.773,0.599,0.374,0.242,0.156,0.131,0.101
O95571,"Persulfide dioxygenase ETHE1, mitochondrial OS=Homo sapiens GN=ETHE1 PE=1 SV=2",ETHE1,7,14,254,27.855,6.83,7,0.996,0.973,0.975,0.956,0.912,0.766,0.766,0.591,0.451,0.320
O95602,DNA-directed RNA polymerase I subunit RPA1 OS=Homo sapiens GN=POLR1A PE=1 SV=2,POLR1A,7,13,1720,194.687,7.03,4,0.996,1.015,1.002,0.813,0.626,0.408,0.286,0.189,0.127,0.116
O95613,Pericentrin OS=Homo sapiens GN=PCNT PE=1 SV=4,PCNT,4,7,3336,377.806,5.55,3,0.996,0.937,0.877,0.743,0.650,0.534,0.416,0.350,0.285,0.230
O95619,YEATS domain-containing protein 4 OS=Homo sapiens GN=YEATS4 PE=1 SV=1,YEATS4,2,4,227,26.483,8.41,2,0.996,0.943,0.853,0.695,0.601,0.410,0.211,0.119,0.094,0.079
O95628,Isoform 6 of CCR4-NOT transcription complex subunit 4 OS=Homo sapiens GN=CNOT4,CNOT4,5,10,767,84.694,7.3,4,0.996,0.982,0.946,0.890,0.784,0.626,0.402,0.213,0.150,0.147
O95630,STAM-binding protein OS=Homo sapiens GN=STAMBP PE=1 SV=1,STAMBP,13,26,424,48.047,6.29,13,0.996,0.993,0.916,0.734,0.448,0.266,0.186,0.113,0.092,0.088
O95639,Cleavage and polyadenylation specificity factor subunit 4 OS=Homo sapiens GN=CPSF4 PE=1 SV=1,CPSF4,9,24,269,30.235,8.31,12,0.996,1.044,0.910,0.586,0.394,0.287,0.191,0.109,0.101,0.090
O95644,"Nuclear factor of activated T-cells, cytoplasmic 1 OS=Homo sapiens GN=NFATC1 PE=1 SV=3",NFATC1,2,4,943,101.179,6.99,2,0.996,0.993,1.086,0.564,0.437,0.523,0.194,0.150,0.119,0.109
O95671,N-acetylserotonin O-methyltransferase-like protein OS=Homo sapiens GN=ASMTL PE=1 SV=3,ASMTL,11,26,621,68.813,6.07,11,0.996,0.960,0.927,0.854,0.620,0.373,0.244,0.135,0.125,0.095
O95684,FGFR1 oncogene partner OS=Homo sapiens GN=FGFR1OP PE=1 SV=1,FGFR1OP,9,18,399,43.039,4.81,8,0.996,0.960,0.956,0.894,0.767,0.468,0.345,0.231,0.142,0.113
O95707,Ribonuclease P protein subunit p29 OS=Homo sapiens GN=POP4 PE=1 SV=2,POP4,2,4,220,25.409,10.07,1,0.996,0.978,0.966,0.950,0.804,0.485,0.259,0.106,0.075,0.044
O95714,E3 ubiquitin-protein ligase HERC2 OS=Homo sapiens GN=HERC2 PE=1 SV=2,HERC2,3,7,4834,526.895,6.28,4,0.996,0.916,0.986,0.951,0.890,0.588,0.498,0.304,0.255,0.213
O95721,Synaptosomal-associated protein 29 OS=Homo sapiens GN=SNAP29 PE=1 SV=1,SNAP29,18,162,258,28.953,5.81,67,0.996,0.971,0.947,0.879,0.801,0.653,0.593,0.470,0.396,0.431
O95747,Serine/threonine-protein kinase OSR1 OS=Homo sapiens GN=OXSR1 PE=1 SV=1,OXSR1,15,51,527,57.986,6.43,20,0.996,0.955,0.901,0.650,0.351,0.182,0.106,0.075,0.073,0.076
O95749,Geranylgeranyl pyrophosphate synthase OS=Homo sapiens GN=GGPS1 PE=1 SV=1,GGPS1,10,30,300,34.849,6.14,11,0.996,1.003,1.018,0.984,0.940,0.724,0.635,0.515,0.308,0.157
O95758,Isoform 4 of Polypyrimidine tract-binding protein 3 OS=Homo sapiens GN=PTBP3,PTBP3,3,17,558,60.379,9.19,1,0.996,0.915,0.899,0.731,0.508,0.357,0.296,0.282,0.217,0.101
O95777,"N-alpha-acetyltransferase 38, NatC auxiliary subunit OS=Homo sapiens GN=NAA38 PE=1 SV=3",NAA38,8,34,96,10.396,4.48,12,0.996,1.031,1.006,1.006,0.863,0.765,0.518,0.434,0.328,0.278
O95782,AP-2 complex subunit alpha-1 OS=Homo sapiens GN=AP2A1 PE=1 SV=3,AP2A1,45,223,977,107.478,7.03,73,0.996,1.004,0.995,0.899,0.760,0.519,0.294,0.161,0.101,0.066
O95793,Double-stranded RNA-binding protein Staufen homolog 1 OS=Homo sapiens GN=STAU1 PE=1 SV=2,STAU1,22,67,577,63.143,9.44,20,0.996,1.091,1.027,0.987,0.789,0.566,0.298,0.188,0.145,0.123
O95801,Tetratricopeptide repeat protein 4 OS=Homo sapiens GN=TTC4 PE=1 SV=3,TTC4,19,55,387,44.65,5.6,18,0.996,0.936,0.953,0.757,0.438,0.255,0.137,0.087,0.075,0.069
O95810,Serum deprivation-response protein OS=Homo sapiens GN=SDPR PE=1 SV=3,SDPR,12,34,425,47.145,5.21,11,0.996,1.028,0.957,0.918,0.740,0.522,0.337,0.225,0.166,0.169
O95816,BAG family molecular chaperone regulator 2 OS=Homo sapiens GN=BAG2 PE=1 SV=1,BAG2,14,80,211,23.757,6.7,24,0.996,0.937,0.801,0.684,0.551,0.403,0.326,0.161,0.136,0.098
O95817,BAG family molecular chaperone regulator 3 OS=Homo sapiens GN=BAG3 PE=1 SV=3,BAG3,15,120,575,61.557,6.95,52,0.996,0.970,1.004,0.969,0.874,0.710,0.571,0.489,0.394,0.395
O95825,Quinone oxidoreductase-like protein 1 OS=Homo sapiens GN=CRYZL1 PE=1 SV=2,CRYZL1,11,31,349,38.672,5.78,12,0.996,1.034,1.008,1.003,0.964,0.784,0.657,0.506,0.266,0.102
O95831,"Apoptosis-inducing factor 1, mitochondrial OS=Homo sapiens GN=AIFM1 PE=1 SV=1",AIFM1,10,21,613,66.859,8.95,10,0.996,0.992,0.997,1.025,1.021,0.999,1.146,1.242,0.597,0.275
O95833,Chloride intracellular channel protein 3 OS=Homo sapiens GN=CLIC3 PE=1 SV=2,CLIC3,1,1,236,26.632,6.43,1,0.996,0.893,0.797,0.740,0.615,0.484,0.379,0.285,0.164,0.116
O95835,Serine/threonine-protein kinase LATS1 OS=Homo sapiens GN=LATS1 PE=1 SV=1,LATS1,4,8,1130,126.79,8.7,4,0.996,0.972,0.735,0.523,0.403,0.294,0.199,0.126,0.090,0.084
O95861,"3'(2'),5'-bisphosphate nucleotidase 1 OS=Homo sapiens GN=BPNT1 PE=1 SV=1",BPNT1,24,114,308,33.371,5.69,51,0.996,0.925,0.962,0.987,0.994,0.749,0.733,0.591,0.408,0.220
O95865,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2 OS=Homo sapiens GN=DDAH2 PE=1 SV=1",DDAH2,11,35,285,29.625,6.01,16,0.996,0.949,0.973,0.935,0.874,0.724,0.632,0.338,0.136,0.093
O95873,Uncharacterized protein C6orf47 OS=Homo sapiens GN=C6orf47 PE=1 SV=2,C6orf47,1,2,294,31.69,6.37,1,0.996,1.067,0.892,0.763,0.657,0.599,0.487,0.381,0.243,0.248
O95881,Thioredoxin domain-containing protein 12 OS=Homo sapiens GN=TXNDC12 PE=1 SV=1,TXNDC12,9,60,172,19.194,5.4,21,0.996,0.937,0.924,0.777,0.635,0.474,0.348,0.261,0.212,0.198
O95926,Pre-mRNA-splicing factor SYF2 OS=Homo sapiens GN=SYF2 PE=1 SV=1,SYF2,3,10,243,28.705,8.4,5,0.996,1.010,1.056,1.035,0.885,0.847,0.681,0.619,0.504,0.485
O95976,Immunoglobulin superfamily member 6 OS=Homo sapiens GN=IGSF6 PE=2 SV=2,IGSF6,1,3,241,26.996,8.65,1,0.996,0.882,0.798,0.415,0.239,0.091,0.075,0.037,0.027,0.034
O95983,Methyl-CpG-binding domain protein 3 OS=Homo sapiens GN=MBD3 PE=1 SV=1,MBD3,11,35,291,32.823,5.34,13,0.996,1.012,0.851,0.548,0.364,0.247,0.138,0.079,0.055,0.053
O95985,DNA topoisomerase 3-beta-1 OS=Homo sapiens GN=TOP3B PE=1 SV=1,TOP3B,4,7,862,96.599,8.12,3,0.996,1.047,0.998,0.922,0.650,0.569,0.244,0.233,0.121,0.135
O95989,Diphosphoinositol polyphosphate phosphohydrolase 1 OS=Homo sapiens GN=NUDT3 PE=1 SV=1,NUDT3,10,61,172,19.459,6.34,26,0.996,1.019,0.965,0.948,0.873,0.740,0.550,0.381,0.180,0.105
O95997,Securin OS=Homo sapiens GN=PTTG1 PE=1 SV=1,PTTG1,4,10,202,22.01,6.6,4,0.996,1.047,1.010,0.917,0.777,0.620,0.438,0.327,0.230,0.186
O95999,B-cell lymphoma/leukemia 10 OS=Homo sapiens GN=BCL10 PE=1 SV=1,BCL10,4,8,233,26.235,5.74,4,0.996,0.929,0.940,0.768,0.540,0.335,0.212,0.144,0.109,0.111
O96006,Zinc finger BED domain-containing protein 1 OS=Homo sapiens GN=ZBED1 PE=1 SV=1,ZBED1,4,8,694,78.106,6.1,4,0.996,1.028,0.987,0.745,0.470,0.306,0.166,0.107,0.100,0.082
